	category	country	country_short	lang	lang_short	name	region	subject	text	type	url	lat_lon
67	National	Kosovo	XK	Albanian	sq	zeri	Europe Other	General News	Gazeta Zëri	webnews	http://zeri.info/	(42.5869578, 20.9021231)
68	National	Algeria	DZ	Arabic	ar	liberte-algerie	Africa	General News	Liberté Algérie	webnews	http://www.liberte-algerie.com/	(36.7954032, 3.2836533)
69	National	USA	US	English	en	gfmd	North America	General News	migration NGO - GFMD Process | Global Forum on Migration and Development	webnews	http://www.gfmd.org	(39.7837304, -100.4458825)
70	National	Austria	AT	English	en	bmk-gv-at	European Union	General News	Austrian Federal Ministry of Transport, Innovation and Technology	webnews	https://www.bmk.gv.at/en.html	(47.2000338, 13.199959)
71	Regional	Portugal	PT	Portuguese	pt	regiaodeleiria	European Union	General News	Região de Leiria	webnews	http://www.regiaodeleiria.pt/	(39.75543705, -8.85637106197953)
72	National	USA	US	English	en	news-uci	North America	General News	UCI News	webnews	http://news.uci.edu/	(39.7837304, -100.4458825)
73	National	USA	US	English	en	nbcbayarea	North America	General News	NBC Bay Area	webnews	http://www.nbcbayarea.com/	(37.3818331, -121.9235183)
74	International	United Kingdom	GB	Arabic	ar	alarab-arabic	Europe Other	General News	The arab weekly	webnews	https://alarab.co.uk/	(54.7023545, -3.2765753)
75	National	Belgium	BE	English	en	inform-index	European Union	General News	migration NGO - inform	webnews	http://www.inform-index.org/	(50.6402809, 4.6667145)
76	National	USA	US	English	en	cbpp	North America	General News	Center on Budget and Policy Priorities	webnews	http://www.cbpp.org/	(39.7837304, -100.4458825)
77	National	Australia	AU	English	en	thefifthestate-au	Oceania	General News	The Fifth Estate	webnews	https://www.thefifthestate.com.au/	(-19.2806872, 146.8135283)
78	National	United Kingdom	GB	English	en	nature-tpj	Europe Other	General News	Nature - The Pharmacogenomics Journal	webnews	https://www.nature.com/tpj/	(54.7023545, -3.2765753)
79	National	Brazil	BR	Portuguese	pt	brasilalemanhanews	South America	General News	BrasilAlemanha	webnews	http://www.brasilalemanhanews.com.br/	(-10.3333333, -53.2)
80	National	Argentina	AR	Spanish	es	pambianconews	South America	General News	pambianconews	webnews	https://www.pambianconews.com/	(-34.9964963, -64.9672817)
81	National	Romania	RO	Romanian	ro	bzf	European Union	General News	Bună Ziua Făgăraș	webnews	https://www.bunaziuafagaras.ro/	(45.9852129, 24.6859225)
82	National	Romania	RO	Romanian	ro	bzb	European Union	General News	Buna ziua Brasov	webnews	http://www.bzb.ro/	(46.7498055, 23.5984619)
83	National	Hungary	HU	Hungarian	hu	mfor-hu	European Union	General News	mfor.hu - Menedzsment Fórum	webnews	https://mfor.hu/	(47.1817585, 19.5060937)
84	International	USA	US	English	en	al-monitor	North America	General News	Al-Monitor: The Pulse of the Middle East	webnews	https://www.al-monitor.com/pulse/home.html	(39.7837304, -100.4458825)
85	National	Austria	AT	English	en	climate-kic	European Union	General News	climate-kic	webnews	https://www.climate-kic.org/news-insights/	(47.2000338, 13.199959)
86	National	Vietnam	VN	Vietnamese	vi	24h-com	Asia	General News	24h-com -  Vietnam	webnews	https://www.24h.com.vn/	(10.8753844, 106.7993009)
87	Regional	Spain	ES	Spanish	es	elvenezolanonews	European Union	General News	Diario El Venezolano	webnews	http://elvenezolanonews.com/	(39.3262345, -4.8380649)
88	National	Latvia	LV	English	en	liepu	European Union	General News	Latviešu valodas aģentūra	webnews	https://www.liepu.lv/lv	(56.8406494, 24.7537645)
89	National	Ukraine	UA	Russian	ru	marsovet-ru	Europe Other	General News	Мариупольский городской совет	webnews	http://marsovet.org.ua/	(47.12869795, 37.586507028054406)
90	National	Georgia	GE	Georgian	ka	primetime	Asia	General News	primetime	webnews	http://primetime.ge/	(41.6809707, 44.0287382)
91	National	Romania	RO	Romanian	ro	jandarmeriaromana	European Union	General News	Jandarmeria Romana	webnews	http://www.jandarmeriaromana.ro/	(44.50828575, 26.06690371770603)
92	National	Netherlands	NL	Dutch	nl	refdag	European Union	General News	Reformatorisch Dagblad	webnews	https://www.rd.nl/	(52.5001698, 5.7480821)
93	National	USA	US	English	en	thegardenisland	North America	General News	Huelva24	webnews	http://thegardenisland.com/	(39.7837304, -100.4458825)
94	National	Greece	GR	Modern Greek (1453-)	el	ecozen	European Union	General News	ecozen	webnews	https://ecozen.gr/	(38.9953683, 21.9877132)
95	National	Palestine, State of	PS	Arabic	ar	amin	Middle East	General News	AMIN - Arabic Media Internet Network	webnews	http://www.amin.org/	(31.94696655, 35.27386547291496)
96	National	United Kingdom	GB	English	en	nature-nrmicro	Europe Other	General News	Nature - Reviews Microbiology	webnews	https://www.nature.com/nrmicro/	(54.7023545, -3.2765753)
97	National	Germany	DE	English	en	boell-en	European Union	General News	migration NGO3 - Heinrich Böll Foundation	webnews	https://www.boell.de/en	(51.0834196, 10.4234469)
98	National	Nepal	NP	English	en	kathmandupost	Asia	General News	Kathmandu Post	webnews	http://kathmandupost.ekantipur.com/	(27.708317, 85.3205817)
99	National	Luxemburg	LU	French	fr	paperjam	European Union	General News	paperJam	webnews	https://paperjam.lu/	(49.8158683, 6.1296751)
100	National	United Kingdom	GB	English	en	thisisnottingham	Europe Other	General News	This is Nottingham	webnews	http://www.thisisnottingham.co.uk/home	(52.928573650000004, -1.216157084402168)
101	National	Germany	DE	German	de	tageblatt-de	European Union	General News	Tageblatt	webnews	http://www.tageblatt.de/	(53.4752712, 9.6969412)
102	National	Germany	DE	German	de	berliner-zeitung	European Union	General News	Berliner Zeitung	webnews	https://www.berliner-zeitung.de/	(52.4716106, 13.4605893)
103	Local	Spain	ES	Spanish	es	diariodeibiza	European Union	General News	Diario de Ibiza	webnews	http://www.diariodeibiza.es/	(38.90937815, 1.421237213170544)
104	National	Italy	IT	English	en	laimomo	European Union	General News	migration NGO - Lai-momo Cooperative	webnews	https://www.laimomo.it/	(42.6384261, 12.674297)
105	National	South Korea	KR	Korean	ko	econonews	Asia	General News	Econo news	webnews	http://www.econonews.co.kr/	(36.638392, 127.6961188)
106	National	Italy	IT	Italian	it	tempostretto	European Union	General News	tempo stretto	webnews	http://www.tempostretto.it/	(42.6384261, 12.674297)
107	National	Italy	IT	Italian	it	9colonne-it	European Union	General News	9Colonne | Agenzia giornalistica	webnews	https://www.9colonne.it/	(42.6384261, 12.674297)
108	National	China	CN	Chinese	zh	163	Asia	General News	163	webnews	http://www.163.com	(46.7265802, 82.8946781)
109	National	Serbia	RS	Serbian	sr	danas	EU Candidate	General News	danas (Serbian - latin alphabet)	webnews	https://www.danas.rs/	(44.1534121, 20.55144)
110	National	Lithuania	LT	Lithuanian	lt	klaipeda	European Union	General News	klaipeda Diena	webnews	http://klaipeda.diena.lt/	(55.3500003, 23.7499997)
111	National	Austria	AT	German	de	bvz	European Union	General News	BVZ - Die Burgenländische Volkszeitung Online	webnews	http://www.bvz.at/	(47.2000338, 13.199959)
112	National	Germany	DE	German	de	dekoder	European Union	General News	dekoder	webnews	https://www.dekoder.org/	(51.0834196, 10.4234469)
113	National	Hungary	HU	Hungarian	hu	mnnsz	European Union	General News	mnnsz	webnews	https://www.mnnsz.hu/	(47.1817585, 19.5060937)
114	National	Jordan	JO	English	en	petra-en	Middle East	General News	Petra	webnews	http://petra.gov.jo/Public/Main_english.aspx?lang=2&site_id=1	(30.3273975, 35.4464006)
115	National	Nigeria	NG	English	en	peoplesdaily-online	Africa	General News	Peoples Daily Newspaper	webnews	http://www.peoplesdaily-online.com/	(9.6000359, 7.9999721)
116	National	Netherlands	NL	Dutch	nl	vluchtelingenwerk	European Union	General News	migration NGO - Dutch Council for Refugees	webnews	https://www.vluchtelingenwerk.nl/	(52.5001698, 5.7480821)
117	National	Ireland	IE	English	en	waterford-news	European Union	General News	Waterford News and Star	webnews	http://www.waterford-news.ie/	(52.865196, -7.9794599)
118	National	Greece	GR	Modern Greek (1453-)	el	lesvosnews	European Union	General News	Lesvosnews	webnews	http://www.lesvosnews.net/	(38.9953683, 21.9877132)
119	National	Romania	RO	English	en	mipex	European Union	General News	migration NGO - mipex	webnews	http://www.mipex.eu/	(45.9852129, 24.6859225)
120	National	Tuvalu	TV	Chinese	zh	kaixian	Asia	General News	kaixian	webnews	http://www.kaixian.tv/	(-8.6405212, 179.1582918181797)
121	National	USA	US	English	en	valuewalk	North America	General News	ValueWalk - Breaking news and in-depth analysis on everything hedge funds and value investing	webnews	https://www.valuewalk.com/	(39.7837304, -100.4458825)
122	National	USA	US	English	en	gmfus	North America	General News	The German Marshal Fund of the United States	webnews	http://www.gmfus.org/	(39.7837304, -100.4458825)
123	National	Romania	RO	Romanian	ro	actualitateaprahoveana	European Union	General News	Actualitatea Prahoveană	webnews	http://www.actualitateaprahoveana.ro/	(45.9852129, 24.6859225)
124	Regional	Netherlands	NL	Dutch	nl	icct-nl	European Union	General News	International Centre for Counter-Terrorism - ICCT	webnews	https://icct.nl/	(52.5001698, 5.7480821)
125	National	Zimbabwe	ZW	English	en	voazimbabwe	Africa	General News	voazimbabwe	webnews	https://www.voazimbabwe.com/	(-18.4554963, 29.7468414)
126	International	Argentina	AR	Spanish	es	clarin	South America	General News	Clarín - Argentina	webnews	http://www.clarin.com/	(-34.9964963, -64.9672817)
127	Regional	Spain	ES	Spanish	es	elperiodicodearagon	European Union	General News	El Periódico de Aragón. Noticias de Aragón, Zaragoza, Huesca y Teruel.	webnews	https://www.elperiodicodearagon.com/	(39.3262345, -4.8380649)
128	Local	Italy	IT	Italian	it	metronews	European Union	General News	Metro news	webnews	http://www.metronews.it/	(42.6384261, 12.674297)
129	National	Ukraine	UA	Russian	ru	novosti	Europe Other	General News	novosti  (Donyestsk)	webnews	http://novosti.dn.ua/	(49.4871968, 31.2718321)
130	National	USA	US	English	en	trackingterrorism	North America	General News	trackingterrorism	webnews	https://www.trackingterrorism.org/	(39.7837304, -100.4458825)
131	National	Bulgaria	BG	Bulgarian	bg	btv	European Union	General News	bTV (Bulgaria)	webnews	http://www.btv.bg/	(42.6073975, 25.4856617)
132	National	USA	US	English	en	misinfocon	North America	General News	misinfocon	webnews	https://misinfocon.com/	(39.7837304, -100.4458825)
133	Local	Italy	IT	Italian	it	prealpina	European Union	General News	La Prealpina	webnews	https://www.prealpina.it/	(45.4768018, 9.2026388)
134	National	Austria	AT	German	de	heute-AT	European Union	General News	Heute - Österreichs neue Tageszeitung	webnews	https://www.heute.at/	(47.2000338, 13.199959)
135	National	United Kingdom	GB	English	en	nature-nchem	Europe Other	General News	Nature - Chemistry	webnews	https://www.nature.com/nchem/	(54.7023545, -3.2765753)
136	National	Finland	FI	Finnish	fi	maaseuduntulevaisuus	European Union	General News	Maaseudun Tulevaisuus	webnews	https://www.maaseuduntulevaisuus.fi/	(63.2467777, 25.9209164)
137	National	United Kingdom	GB	English	en	ekurd	Europe Other	General News	KurdNet	webnews	https://ekurd.net/	(54.7023545, -3.2765753)
138	National	Hungary	HU	Hungarian	hu	vaol	European Union	General News	vaol	webnews	http://vaol.hu/	(47.1817585, 19.5060937)
139	National	Germany	DE	English	en	cen-eu	European Union	General News	CEN - European Committee for Standardisation	webnews	https://www.cen.eu/Pages/default.aspx	(51.0834196, 10.4234469)
140	National	Canada	CA	English	en	theglobeandmail	North America	General News	The Globe and Mail	webnews	http://www.theglobeandmail.com	(43.7411755, -79.4149087)
141	National	Italy	IT	Italian	it	lentepubblica	European Union	General News	l'ente pubblica	webnews	https://www.lentepubblica.it/	(42.6384261, 12.674297)
142	National	Lebanon	LB	Arabic	ar	almanar	Middle East	General News	Al Manar (arabic)	webnews	http://www.almanar.com.lb/main.php	(33.8750629, 35.843409)
143	National	Belgium	BE	Dutch	nl	demorgen	European Union	General News	demorgen	webnews	https://www.demorgen.be/	(50.6402809, 4.6667145)
144	National	Germany	DE	English	en	siemens	European Union	General News	siemens	webnews	https://new.siemens.com/global/en.html	(48.8249048, 9.092212361343968)
145	National	United Kingdom	GB	English	en	nature-natrevphys	Europe Other	General News	Nature -  reviews physics	webnews	https://www.nature.com/natrevphys	(54.7023545, -3.2765753)
146	National	Russia	RU	Russian	ru	agentura-ru	Asia	General News	Agentura - Russian	webnews	http://www.agentura.ru	(64.6863136, 97.7453061)
147	National	Australia	AU	English	en	knowridge	Oceania	General News	knowridge	webnews	https://knowridge.com/	(-24.7761086, 134.755)
148	National	Malaysia	MY	Tamil	ta	semparuthi	Asia	General News	Semparuthi	webnews	http://www.semparuthi.com/	(4.5693754, 102.2656823)
149	National	Romania	RO	Romanian	ro	aradon	European Union	General News	aradon	webnews	https://www.aradon.ro/	(45.9852129, 24.6859225)
150	National	Moldova	MD	Romanian	ro	infoprut	Europe Other	General News	InfoPrut	webnews	http://infoprut.ro/	(47.2879608, 28.5670941)
151	National	Italy	IT	Italian	it	radiosubasio	European Union	General News	055Firenze	webnews	https://www.radiosubasio.it/	(42.6384261, 12.674297)
152	National	Sweden	SE	Swedish	sv	butikstrender	European Union	General News	Butikstrender	webnews	http://www.butikstrender.se/	(59.6749712, 14.5208584)
153	National	Ukraine	UA	Russian	ru	zn-ua	Europe Other	General News	ZN	webnews	https://zn.ua/	(50.4485461, 30.527281356466336)
154	National	Bulgaria	BG	Bulgarian	bg	blagoevgrad	European Union	General News	Blagoevgrad	webnews	http://www.blagoevgrad.eu/	(41.750223500000004, 23.487047631287865)
155	International	France	FR	French	fr	lefigaro	European Union	General News	Le Figaro	webnews	http://www.lefigaro.fr/	(48.8726271, 2.3371462062967874)
156	National	United Kingdom	GB	English	en	dataguidance	Europe Other	General News	Data Guidance	webnews	https://www.dataguidance.com/	(54.7023545, -3.2765753)
157	International	Germany	DE	German	de	zeit	European Union	General News	zeit	webnews	http://www.zeit.de/index	(51.0981499, 7.0445296)
158	National	Slovakia	SK	Italian	it	buongiornoslovacchia	European Union	General News	Buongiorno Slovacchia	webnews	http://www.buongiornoslovacchia.sk/	(48.38897715, 17.589931260480782)
159	National	Italy	IT	Italian	it	raiscuola	European Union	General News	Rai scuola	webnews	http://www.raiscuola.rai.it/	(42.6384261, 12.674297)
160	National	Hungary	HU	Hungarian	hu	ridikul-hu	European Union	General News	Címlap | Ridikül	webnews	https://ridikul.hu/	(47.1817585, 19.5060937)
161	National	Ireland	IE	English	en	offalyindependent	European Union	General News	Offaly Independent	webnews	http://www.offalyindependent.ie/	(52.865196, -7.9794599)
162	National	USA	US	English	en	fairwarning	North America	General News	FairWarning	webnews	https://www.fairwarning.org/	(39.7837304, -100.4458825)
163	National	USA	US	English	en	energypolicy	North America	General News	Columbia SIPA Center on Global Energy Policy	webnews	http://energypolicy.columbia.edu/	(39.7837304, -100.4458825)
164	National	Togo	TG	French	fr	manationtogo	Africa	General News	Ma nation TOGO	webnews	http://manationtogo.com/	(8.7800265, 1.0199765)
165	National	Germany	DE	German	de	heise	European Union	General News	Heise	webnews	http://www.heise.de/	(53.4012839, 8.6981016)
166	National	Sweden	SE	Swedish	sv	bra	European Union	General News	Brå	webnews	http://www.bra.se/	(59.6069246, 17.8709376)
167	Local	Italy	IT	Italian	it	controradio	European Union	General News	controradio	webnews	http://www.controradio.it/	(42.6384261, 12.674297)
168	Regional	Netherlands	NL	Dutch	nl	stellingwerf	European Union	General News	Stellingwerf	webnews	https://stellingwerf.nl/	(52.7207174, 5.7390518)
169	National	Spain	ES	Spanish	es	elconfidencialdigital	European Union	General News	elc onfidencial digital	webnews	https://www.elconfidencialdigital.com/	(39.3262345, -4.8380649)
170	National	Czech Republic	CZ	Czech	cs	policie-cz	European Union	General News	Policie České republiky	webnews	http://www.policie.cz/	(49.2253775, 17.672285945739446)
171	National	Italy	IT	Italian	it	articolo21	European Union	General News	Articolo 21	webnews	https://www.articolo21.org/	(40.6658772, 16.6091882)
172	National	Thailand	TH	English	en	pattayatoday	Asia	General News	Pattaya Today Newspaper	webnews	https://pattayatoday.net/	(14.8971921, 100.83273)
173	International	USA	US	English	en	ABCnews	North America	General News	ABC News	webnews	http://abcnews.go.com/	(37.0709056, -76.4943308)
174	National	Poland	PL	Polish	pl	ncbj.pl	European Union	General News	Narodowe Centrum Badań Jądrowych	webnews	http://www.ncbj.gov.pl	(52.12345775, 21.340147028599326)
175	National	Mexico	MX	Spanish	es	tiempo-mx	North America	General News	Tiempo	webnews	http://www.tiempo.com.mx/	(17.08057735, -96.71526035)
176	National	Italy	IT	Italian	it	secondowelfare	European Union	General News	Secondo Welfare	webnews	http://secondowelfare.it/	(42.6384261, 12.674297)
177	National	Italy	IT	Italian	it	lavoce-info	European Union	General News	lavoceinfo	webnews	https://www.lavoce.info/	(42.6384261, 12.674297)
178	National	Denmark	DK	Danish	da	BT-dk	European Union	General News	BT	webnews	http://www.bt.dk	(55.6928608, 12.5992622)
179	National	Bulgaria	BG	Bulgarian	bg	nsgp	European Union	General News	Bulgarian Border Police	webnews	https://www.mvr.bg/gdgp	(42.6073975, 25.4856617)
180	National	Brazil	BR	English	en	vale	South America	General News	vale	webnews	http://www.vale.com/brasil/en/Pages/default.aspx	(-20.272261999999998, -40.250860009407184)
181	National	St. Lucia	LC	English	en	thevoiceslu	Central America	General News	The Voice	webnews	http://www.thevoiceslu.com/	(14.014232199999999, -60.98688046334031)
182	National	Belgium	BE	English	en	scar-europe	European Union	General News	SCAR - Standing Committee on Agricultural Research	webnews	https://scar-europe.org/	(50.6402809, 4.6667145)
183	National	Hungary	HU	Hungarian	hu	blikk	European Union	General News	Blikk	webnews	http://www.blikk.hu/	(47.1817585, 19.5060937)
184	Regional	Italy	IT	Italian	it	valsassinanews	European Union	General News	Valsassina news	webnews	http://www.valsassinanews.com/	(42.6384261, 12.674297)
185	National	Slovakia	SK	Hungarian	hu	ujszo	European Union	General News	Új Szó Online	webnews	http://ujszo.com/	(48.7411522, 19.4528646)
